DV,participant_id,retention_percent,valid_trials,excluded_trials
DALI,1,100,16,0
DALI,2,100,16,0
DALI,3,100,16,0
DALI,4,100,16,0
DALI,5,100,16,0
DALI,6,100,16,0
DALI,7,100,16,0
DALI,8,100,16,0
DALI,9,100,16,0
DALI,10,100,16,0
DALI,11,100,16,0
DALI,12,100,16,0
DALI,13,100,16,0
DALI,14,100,16,0
DALI,15,100,16,0
DALI,16,100,16,0
DALI,17,100,16,0
DALI,18,100,16,0
DALI,19,100,16,0
DALI,20,100,16,0
DALI,21,100,16,0
DALI,22,100,16,0
DALI,23,100,16,0
DALI,24,100,16,0
DALI,25,100,16,0
DALI,26,100,16,0
DALI,27,100,16,0
DALI,28,100,16,0
DALI,29,100,16,0
DALI,30,100,16,0
DURVISIT,1,100,16,0
DURVISIT,2,100,16,0
DURVISIT,3,75,12,4
DURVISIT,4,93.75,15,1
DURVISIT,5,100,16,0
DURVISIT,6,62.5,10,6
DURVISIT,7,100,16,0
DURVISIT,8,93.75,15,1
DURVISIT,9,62.5,10,6
DURVISIT,10,68.75,11,5
DURVISIT,11,56.25,9,7
DURVISIT,12,100,16,0
DURVISIT,13,87.5,14,2
DURVISIT,14,62.5,10,6
DURVISIT,15,100,16,0
DURVISIT,16,75,12,4
DURVISIT,17,100,16,0
DURVISIT,18,31.25,5,11
DURVISIT,19,81.25,13,3
DURVISIT,20,87.5,14,2
DURVISIT,21,100,16,0
DURVISIT,22,68.75,11,5
DURVISIT,23,100,16,0
DURVISIT,24,100,16,0
DURVISIT,25,100,16,0
DURVISIT,26,100,16,0
DURVISIT,27,100,16,0
DURVISIT,28,100,16,0
DURVISIT,29,100,16,0
DURVISIT,30,93.75,15,1
NDRT,1,100,16,0
NDRT,2,100,16,0
NDRT,3,100,16,0
NDRT,4,100,16,0
NDRT,5,100,16,0
NDRT,6,100,16,0
NDRT,7,100,16,0
NDRT,8,100,16,0
NDRT,9,100,16,0
NDRT,10,100,16,0
NDRT,11,100,16,0
NDRT,12,100,16,0
NDRT,13,100,16,0
NDRT,14,100,16,0
NDRT,15,100,16,0
NDRT,16,100,16,0
NDRT,17,100,16,0
NDRT,18,100,16,0
NDRT,19,100,16,0
NDRT,20,100,16,0
NDRT,21,100,16,0
NDRT,22,100,16,0
NDRT,23,100,16,0
NDRT,24,100,16,0
NDRT,25,100,16,0
NDRT,26,100,16,0
NDRT,27,100,16,0
NDRT,28,100,16,0
NDRT,29,100,16,0
NDRT,30,100,16,0
PUPIL,1,100,16,0
PUPIL,2,100,16,0
PUPIL,3,75,12,4
PUPIL,4,93.75,15,1
PUPIL,5,100,16,0
PUPIL,6,62.5,10,6
PUPIL,7,100,16,0
PUPIL,8,93.75,15,1
PUPIL,9,62.5,10,6
PUPIL,10,68.75,11,5
PUPIL,11,56.25,9,7
PUPIL,12,100,16,0
PUPIL,13,87.5,14,2
PUPIL,14,62.5,10,6
PUPIL,15,100,16,0
PUPIL,16,75,12,4
PUPIL,17,100,16,0
PUPIL,18,31.25,5,11
PUPIL,19,81.25,13,3
PUPIL,20,87.5,14,2
PUPIL,21,100,16,0
PUPIL,22,68.75,11,5
PUPIL,23,100,16,0
PUPIL,24,100,16,0
PUPIL,25,100,16,0
PUPIL,26,100,16,0
PUPIL,27,100,16,0
PUPIL,28,100,16,0
PUPIL,29,100,16,0
PUPIL,30,93.75,15,1
RT,1,100,77,0
RT,2,100,78,0
RT,3,100,61,0
RT,4,100,72,0
RT,5,100,75,0
RT,6,100,78,0
RT,7,100,61,0
RT,8,100,67,0
RT,9,100,79,0
RT,10,100,77,0
RT,11,100,79,0
RT,12,100,78,0
RT,13,100,75,0
RT,14,100,76,0
RT,15,100,79,0
RT,16,100,81,0
RT,17,100,81,0
RT,18,100,85,0
RT,19,100,76,0
RT,20,100,80,0
RT,21,100,80,0
RT,22,100,80,0
RT,23,100,72,0
RT,24,100,78,0
RT,25,100,80,0
RT,26,100,81,0
RT,27,100,77,0
RT,28,100,26,0
RT,29,100,59,0
RT,30,100,73,0
SUS,1,100,16,0
SUS,2,100,16,0
SUS,3,100,16,0
SUS,4,100,16,0
SUS,5,100,16,0
SUS,6,100,16,0
SUS,7,100,16,0
SUS,8,100,13,0
SUS,9,100,16,0
SUS,10,100,16,0
SUS,11,100,16,0
SUS,12,100,16,0
SUS,13,100,16,0
SUS,14,100,16,0
SUS,15,100,16,0
SUS,16,100,12,0
SUS,17,100,16,0
SUS,18,100,16,0
SUS,19,100,16,0
SUS,20,100,12,0
SUS,21,100,15,0
SUS,22,100,15,0
SUS,23,100,16,0
SUS,24,100,16,0
SUS,25,100,16,0
SUS,26,100,16,0
SUS,27,100,16,0
SUS,28,100,16,0
SUS,29,100,16,0
SUS,30,100,16,0
TRUST,1,100,16,0
TRUST,2,100,16,0
TRUST,3,100,16,0
TRUST,4,100,16,0
TRUST,5,100,16,0
TRUST,6,100,16,0
TRUST,7,100,15,0
TRUST,8,100,16,0
TRUST,9,100,16,0
TRUST,10,100,16,0
TRUST,11,100,16,0
TRUST,12,100,16,0
TRUST,13,100,15,0
TRUST,14,100,16,0
TRUST,15,100,16,0
TRUST,16,100,15,0
TRUST,17,100,16,0
TRUST,18,100,16,0
TRUST,19,100,14,0
TRUST,20,100,16,0
TRUST,21,100,16,0
TRUST,22,100,16,0
TRUST,23,100,16,0
TRUST,24,100,16,0
TRUST,25,100,16,0
TRUST,26,100,15,0
TRUST,27,100,16,0
TRUST,28,100,16,0
TRUST,29,100,16,0
TRUST,30,100,16,0
