DV,condition,n_total,n_valid,n_excluded
DALI,Baseline:No:No,30,30,0
DALI,Baseline:No:Yes,30,30,0
DALI,Baseline:Yes:No,30,30,0
DALI,Baseline:Yes:Yes,30,30,0
DALI,Flashing:No:No,30,30,0
DALI,Flashing:No:Yes,30,30,0
DALI,Flashing:Yes:No,30,30,0
DALI,Flashing:Yes:Yes,30,30,0
DALI,Transparent:No:No,30,30,0
DALI,Transparent:No:Yes,30,30,0
DALI,Transparent:Yes:No,30,30,0
DALI,Transparent:Yes:Yes,30,30,0
DALI,Transparent_Flashing:No:No,30,30,0
DALI,Transparent_Flashing:No:Yes,30,30,0
DALI,Transparent_Flashing:Yes:No,30,30,0
DALI,Transparent_Flashing:Yes:Yes,30,30,0
DURVISIT,Baseline:No:No,30,28,2
DURVISIT,Baseline:No:Yes,30,24,6
DURVISIT,Baseline:Yes:No,30,22,8
DURVISIT,Baseline:Yes:Yes,30,25,5
DURVISIT,Flashing:No:No,30,29,1
DURVISIT,Flashing:No:Yes,30,27,3
DURVISIT,Flashing:Yes:No,30,25,5
DURVISIT,Flashing:Yes:Yes,30,23,7
DURVISIT,Transparent:No:No,30,30,0
DURVISIT,Transparent:No:Yes,30,25,5
DURVISIT,Transparent:Yes:No,30,25,5
DURVISIT,Transparent:Yes:Yes,30,26,4
DURVISIT,Transparent_Flashing:No:No,30,28,2
DURVISIT,Transparent_Flashing:No:Yes,30,30,0
DURVISIT,Transparent_Flashing:Yes:No,30,25,5
DURVISIT,Transparent_Flashing:Yes:Yes,30,24,6
NDRT,Baseline:No:No,30,30,0
NDRT,Baseline:No:Yes,30,30,0
NDRT,Baseline:Yes:No,30,30,0
NDRT,Baseline:Yes:Yes,30,30,0
NDRT,Flashing:No:No,30,30,0
NDRT,Flashing:No:Yes,30,30,0
NDRT,Flashing:Yes:No,30,30,0
NDRT,Flashing:Yes:Yes,30,30,0
NDRT,Transparent:No:No,30,30,0
NDRT,Transparent:No:Yes,30,30,0
NDRT,Transparent:Yes:No,30,30,0
NDRT,Transparent:Yes:Yes,30,30,0
NDRT,Transparent_Flashing:No:No,30,30,0
NDRT,Transparent_Flashing:No:Yes,30,30,0
NDRT,Transparent_Flashing:Yes:No,30,30,0
NDRT,Transparent_Flashing:Yes:Yes,30,30,0
PUPIL,Baseline:No:No,30,28,2
PUPIL,Baseline:No:Yes,30,24,6
PUPIL,Baseline:Yes:No,30,22,8
PUPIL,Baseline:Yes:Yes,30,25,5
PUPIL,Flashing:No:No,30,29,1
PUPIL,Flashing:No:Yes,30,30,0
PUPIL,Flashing:Yes:No,30,25,5
PUPIL,Flashing:Yes:Yes,30,23,7
PUPIL,Transparent:No:No,30,30,0
PUPIL,Transparent:No:Yes,30,25,5
PUPIL,Transparent:Yes:No,30,25,5
PUPIL,Transparent:Yes:Yes,30,26,4
PUPIL,Transparent_Flashing:No:No,30,28,2
PUPIL,Transparent_Flashing:No:Yes,30,27,3
PUPIL,Transparent_Flashing:Yes:No,30,25,5
PUPIL,Transparent_Flashing:Yes:Yes,30,24,6
RT,Baseline:No:No,124,124,0
RT,Baseline:No:Yes,152,152,0
RT,Baseline:Yes:No,137,137,0
RT,Baseline:Yes:Yes,144,144,0
RT,Flashing:No:No,117,117,0
RT,Flashing:No:Yes,135,135,0
RT,Flashing:Yes:No,146,146,0
RT,Flashing:Yes:Yes,149,149,0
RT,Transparent:No:No,118,118,0
RT,Transparent:No:Yes,144,144,0
RT,Transparent:Yes:No,144,144,0
RT,Transparent:Yes:Yes,149,149,0
RT,Transparent_Flashing:No:No,131,131,0
RT,Transparent_Flashing:No:Yes,140,140,0
RT,Transparent_Flashing:Yes:No,144,144,0
RT,Transparent_Flashing:Yes:Yes,147,147,0
SUS,Baseline:No:No,28,28,0
SUS,Baseline:No:Yes,29,29,0
SUS,Baseline:Yes:No,30,30,0
SUS,Baseline:Yes:Yes,30,30,0
SUS,Flashing:No:No,27,27,0
SUS,Flashing:No:Yes,29,29,0
SUS,Flashing:Yes:No,30,30,0
SUS,Flashing:Yes:Yes,30,30,0
SUS,Transparent:No:No,26,26,0
SUS,Transparent:No:Yes,30,30,0
SUS,Transparent:Yes:No,30,30,0
SUS,Transparent:Yes:Yes,30,30,0
SUS,Transparent_Flashing:No:No,28,28,0
SUS,Transparent_Flashing:No:Yes,30,30,0
SUS,Transparent_Flashing:Yes:No,30,30,0
SUS,Transparent_Flashing:Yes:Yes,30,30,0
TRUST,Baseline:No:No,30,30,0
TRUST,Baseline:No:Yes,30,30,0
TRUST,Baseline:Yes:No,29,29,0
TRUST,Baseline:Yes:Yes,30,30,0
TRUST,Flashing:No:No,27,27,0
TRUST,Flashing:No:Yes,30,30,0
TRUST,Flashing:Yes:No,30,30,0
TRUST,Flashing:Yes:Yes,30,30,0
TRUST,Transparent:No:No,29,29,0
TRUST,Transparent:No:Yes,30,30,0
TRUST,Transparent:Yes:No,30,30,0
TRUST,Transparent:Yes:Yes,30,30,0
TRUST,Transparent_Flashing:No:No,30,30,0
TRUST,Transparent_Flashing:No:Yes,29,29,0
TRUST,Transparent_Flashing:Yes:No,30,30,0
TRUST,Transparent_Flashing:Yes:Yes,30,30,0
