Visual_Factor,Auditory_Factor,Haptic_Factor,response,SE,df,lower.CL,upper.CL
Baseline,No,No,22.066589091273492,1.0106226878567408,67.17426286753337,20.058927113096956,24.09270709981361
Flashing,No,No,21.57250511085917,1.0083367153411766,67.17426286753337,19.5695836602159,23.594220732792447
Transparent,No,No,22.396398267851893,1.012123109395387,67.17426286753337,20.385626857708953,24.425407502623823
Transparent_Flashing,No,No,21.676561169537145,1.0088220390920206,67.17426286753337,19.67263295945756,23.69921118068687
Baseline,Yes,No,16.018027472399716,0.9785930605142338,67.19749624031121,14.077169827981196,17.982741661214984
Flashing,Yes,No,16.317229399892245,0.9804057963714932,67.19749624031091,14.372565686453497,18.2853977464705
Transparent,Yes,No,14.566086309132647,0.9693386203078223,67.19749624031121,12.644714154544165,16.51320732773693
Transparent_Flashing,Yes,No,16.107740092046335,0.9791397674285341,67.19749624031121,14.165734211922711,18.07349575808098
Baseline,No,Yes,17.49875905460034,1.0262149403934167,62.39629394109861,15.460060508506453,19.561537321745856
Flashing,No,Yes,16.60755447876946,1.020864675983948,62.39629394109887,14.580100856021959,18.66012002044428
Transparent,No,Yes,16.954085818300822,1.0229750598451515,62.39629394109861,14.922193359103074,19.010677178923725
Transparent_Flashing,No,Yes,16.253192383692205,1.018665213431529,62.39629394109861,14.230369714446843,18.301565773088495
Baseline,Yes,Yes,14.95116736948576,1.0544073492886792,57.97860218983051,12.856020199498516,17.076177983186305
Flashing,Yes,Yes,13.954205346340254,1.047156095183858,57.97860218983051,11.874496019081105,16.06548266802047
Transparent,Yes,Yes,13.634307042143757,1.044730373136269,57.97860218983051,11.55977634612268,15.741000439135373
Transparent_Flashing,Yes,Yes,14.465599385861022,1.0509318577293196,57.978602189830724,12.377843692294569,16.584022093963373
