contrast,estimate,SE,df,t.ratio,p.value.adj,adjust_method
Baseline - Flashing,-0.004259219096683142,0.00962694256856229,130.08335492136203,-0.4424269768256469,0.658915007601885,TUKEY
Baseline - Transparent,0.004466752689336384,0.010308981325381847,130.08335492136203,0.4332874945013963,0.658915007601885,TUKEY
Baseline - Transparent_Flashing,0.017599666945024017,0.011466194659541181,130.08335492136203,1.5349178578944749,0.658915007601885,TUKEY
Flashing - Transparent,0.008725971786019526,0.0099740680017245,130.08335492136203,0.8748658806527908,0.658915007601885,TUKEY
Flashing - Transparent_Flashing,0.02185888604170716,0.01116604480138082,130.08335492136203,1.9576212016455494,0.658915007601885,TUKEY
Transparent - Transparent_Flashing,0.013132914255687633,0.011759150873048555,130.08335492136203,1.1168250494844558,0.658915007601885,TUKEY
Baseline - Flashing,0.0019099790991959908,0.007193994892648697,94.94019257306266,0.2654963101444143,0.658915007601885,TUKEY
Baseline - Transparent,0.002638600095322352,0.007262369905914253,94.94019257306266,0.36332493793431764,0.658915007601885,TUKEY
Baseline - Transparent_Flashing,-0.0026345679062043104,0.006775218285549475,94.94019257306266,-0.38885358303856404,0.658915007601885,TUKEY
Flashing - Transparent,7.286209961263612e-4,0.00743505100849259,94.94019257306266,0.09799811666310068,0.658915007601885,TUKEY
Flashing - Transparent_Flashing,-0.004544547005400301,0.0069599963840078,94.94019257306266,-0.6529524951826768,0.658915007601885,TUKEY
Transparent - Transparent_Flashing,-0.005273168001526662,0.007030647466647372,94.94019257306266,-0.7500259437757332,0.658915007601885,TUKEY
No - Yes,-0.026111599904883986,0.010193315981901646,130.08335492136203,-2.561639406768655,0.20804953459115622,HOLM
No - Yes,-0.03211667836394094,0.009629159982936073,130.08335492136203,-3.3353561910753604,0.20804953459115622,HOLM
No - Yes,-0.043774139817181035,0.011193117183521653,130.08335492136203,-3.9108086781781126,0.20804953459115622,HOLM
No - Yes,0.0030905932293623373,0.012788017906430011,130.08335492136203,0.24167883185464883,0.20804953459115622,HOLM
No - Yes,0.0033875919899404305,0.007022376646659419,94.94019257306266,0.48239964336745245,0.20804953459115622,HOLM
No - Yes,-0.002344017199206405,0.007371441436104013,94.94019257306266,-0.3179862743975452,0.20804953459115622,HOLM
No - Yes,0.0053897684194711415,0.007517588882369164,94.94019257306266,0.7169543990509573,0.20804953459115622,HOLM
No - Yes,-0.004436809486872528,0.0065392585416809415,94.94019257306266,-0.6784881586486454,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:No,-0.03646576498075538,0.009767731251664876,112.51177374721235,-3.7332891375916915,0.20804953459115622,HOLM
A:No;H:No - A:No;H:Yes,-0.026111599904883986,0.010193315981901646,130.08335492136203,-2.561639406768655,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:Yes,-0.03307817299081495,0.009990239615797555,112.51177374721235,-3.3110490101266907,0.20804953459115622,HOLM
A:Yes;H:No - A:No;H:Yes,0.010354165075871391,0.007308390855269593,112.51177374721235,1.4167503190398874,0.20804953459115622,HOLM
A:Yes;H:No - A:Yes;H:Yes,0.0033875919899404305,0.007022376646659419,94.94019257306266,0.48239964336745245,0.20804953459115622,HOLM
A:No;H:Yes - A:Yes;H:Yes,-0.0069665730859309605,0.00760321581106892,112.51177374721235,-0.9162666507228268,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:No,-0.03043330141983136,0.009967461236305037,112.51177374721235,-3.0532650891063873,0.20804953459115622,HOLM
A:No;H:No - A:No;H:Yes,-0.03211667836394094,0.009629159982936073,130.08335492136203,-3.3353561910753604,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:Yes,-0.032777318619037765,0.009806550520484682,112.51177374721235,-3.342390226876409,0.20804953459115622,HOLM
A:Yes;H:No - A:No;H:Yes,-0.0016833769441095825,0.00713375340981662,112.51177374721235,-0.2359735257729991,0.20804953459115622,HOLM
A:Yes;H:No - A:Yes;H:Yes,-0.002344017199206405,0.007371441436104013,94.94019257306266,-0.3179862743975452,0.20804953459115622,HOLM
A:No;H:Yes - A:Yes;H:Yes,-6.606402550968227e-4,0.006907140314605249,112.51177374721235,-0.09564598734151805,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:No,-0.04812627574568318,0.011150540214249478,112.51177374721235,-4.31604880310478,0.20804953459115622,HOLM
A:No;H:No - A:No;H:Yes,-0.043774139817181035,0.011193117183521653,130.08335492136203,-3.9108086781781126,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:Yes,-0.042736507326212037,0.011479157677606839,112.51177374721235,-3.7229654410602793,0.20804953459115622,HOLM
A:Yes;H:No - A:No;H:Yes,0.004352135928502143,0.007073114865531884,112.51177374721235,0.615306835989701,0.20804953459115622,HOLM
A:Yes;H:No - A:Yes;H:Yes,0.0053897684194711415,0.007517588882369164,94.94019257306266,0.7169543990509573,0.20804953459115622,HOLM
A:No;H:Yes - A:Yes;H:Yes,0.0010376324909689982,0.007580598117482116,112.51177374721235,0.13688002910694416,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:No,-0.038186702526454064,0.010138140626586986,112.51177374721235,-3.7666376836705657,0.20804953459115622,HOLM
A:No;H:No - A:No;H:Yes,0.0030905932293623373,0.012788017906430011,130.08335492136203,0.24167883185464883,0.20804953459115622,HOLM
A:No;H:No - A:Yes;H:Yes,-0.04262351201332659,0.009868889386472707,112.51177374721235,-4.318977581383237,0.20804953459115622,HOLM
A:Yes;H:No - A:No;H:Yes,0.0412772957558164,0.010435531923562313,112.51177374721235,3.955456804517716,0.20804953459115622,HOLM
A:Yes;H:No - A:Yes;H:Yes,-0.004436809486872528,0.0065392585416809415,94.94019257306266,-0.6784881586486454,0.20804953459115622,HOLM
A:No;H:Yes - A:Yes;H:Yes,-0.04571410524268893,0.010174153964122433,112.51177374721235,-4.493160355533501,0.20804953459115622,HOLM
