Participant_ID,Visual_Factor,Auditory_Factor,Haptic_Factor,Reaction_Time_Success
1,Transparent_Flashing,No,Yes,0.9470111
1,Transparent_Flashing,No,Yes,0.7469504
1,Transparent_Flashing,No,Yes,0.9870327
1,Transparent_Flashing,No,Yes,0.9736841
1,Transparent_Flashing,No,Yes,1.040374
1,Flashing,No,No,1.200435
1,Flashing,No,No,1.253779
1,Flashing,No,No,0.9069996
1,Flashing,No,No,0.9470271
1,Baseline,Yes,Yes,1.04038
1,Baseline,Yes,Yes,0.773613
1,Baseline,Yes,Yes,0.9603437
1,Baseline,Yes,Yes,0.760254
1,Baseline,Yes,Yes,0.7335867
1,Baseline,Yes,No,0.9736704
1,Baseline,Yes,No,0.9870384
1,Baseline,Yes,No,0.8269492
1,Baseline,Yes,No,0.8136231
1,Baseline,Yes,No,0.8669766
1,Transparent_Flashing,No,No,1.200451
