contrast,Haptic_Factor,estimate,SE,df,lower.CL,upper.CL
(Baseline - Flashing) - (Baseline - Transparent),No,0.45266568694486087,0.08826252039576339,2129.6463735843895,0.27957595280206204,0.6257554210876597
(Baseline - Flashing) - (Baseline - Transparent_Flashing),No,-0.044456942629674395,0.08695810787188235,2129.6463735843895,-0.2149886213718488,0.1260747361125
(Baseline - Flashing) - (Flashing - Transparent),No,0.550419117243163,0.15263194068644692,2129.6463735843895,0.2510958946946184,0.8497423397917074
(Baseline - Flashing) - (Flashing - Transparent_Flashing),No,0.05329648766862777,0.15183482603687537,2129.6463735843895,-0.24446353045116254,0.35105650578841807
(Baseline - Flashing) - (Transparent - Transparent_Flashing),No,-0.3993691992762333,0.1238453484400031,2129.6463735843895,-0.6422396536908952,-0.1564987448615714
(Baseline - Transparent) - (Baseline - Transparent_Flashing),No,-0.49712262957453524,0.08701519934739983,2132.8432731587336,-0.6677661237361141,-0.3264791354129564
(Baseline - Transparent) - (Flashing - Transparent),No,0.09775343029830214,0.08799391861257176,2132.8432731587336,-0.0748094075694884,0.27031626816609267
(Baseline - Transparent) - (Flashing - Transparent_Flashing),No,-0.3993691992762331,0.12378737155609205,2132.8432731587336,-0.6421257495551745,-0.15661264899729166
(Baseline - Transparent) - (Transparent - Transparent_Flashing),No,-0.8520348862210942,0.1520021945604085,2132.14686746834,-1.150122928367039,-0.5539468440751494
(Baseline - Transparent_Flashing) - (Flashing - Transparent),No,0.5948760598728374,0.12379319540789625,2133.4487884099353,0.3521081276956346,0.8376439920500403
(Baseline - Transparent_Flashing) - (Flashing - Transparent_Flashing),No,0.09775343029830216,0.08799391861257175,2133.58771418066,-0.07480937338238222,0.2703162339789865
(Baseline - Transparent_Flashing) - (Transparent - Transparent_Flashing),No,-0.3549122566465589,0.08827666048121913,2132.14686746834,-0.5280296051567552,-0.18179490813636257
(Flashing - Transparent) - (Flashing - Transparent_Flashing),No,-0.49712262957453524,0.08717372985947575,2133.4487884099353,-0.6680769867056147,-0.32616827244345575
(Flashing - Transparent) - (Transparent - Transparent_Flashing),No,-0.9497883165193963,0.1520274694622993,2132.14686746834,-1.2479259246998438,-0.6516507083389489
(Flashing - Transparent_Flashing) - (Transparent - Transparent_Flashing),No,-0.4526656869448611,0.08844117313690465,2132.14686746834,-0.6261056574776102,-0.279225716412112
(Baseline - Flashing) - (Baseline - Transparent),Yes,-0.05452212652164404,0.08384101168687044,2125.6394084513536,-0.21894111109399897,0.1098968580507109
(Baseline - Flashing) - (Baseline - Transparent_Flashing),Yes,0.2784250087820174,0.08422214546368216,2125.6394084513536,0.11325859014000153,0.44359142742403335
(Baseline - Flashing) - (Flashing - Transparent),Yes,0.015789902594041443,0.14525001736582333,2125.6394084513536,-0.2690570939283718,0.3006368991164547
(Baseline - Flashing) - (Flashing - Transparent_Flashing),Yes,0.3487370378977029,0.14547429649135324,2125.6394084513536,0.06345021192501865,0.6340238638703871
(Baseline - Flashing) - (Transparent - Transparent_Flashing),Yes,0.4032591644193469,0.11793031619057924,2125.5249845773706,0.17198829777638114,0.6345300310623126
(Baseline - Transparent) - (Baseline - Transparent_Flashing),Yes,0.3329471353036615,0.08337004682480552,2126.8396181524267,0.16945180336741048,0.4964424672399125
(Baseline - Transparent) - (Flashing - Transparent),Yes,0.07031202911568549,0.08336071930278534,2126.8396181524267,-0.09316501080362524,0.23378906903499622
(Baseline - Transparent) - (Flashing - Transparent_Flashing),Yes,0.40325916441934695,0.11788653380440348,2126.8396181524267,0.17207423998638668,0.6344440888523072
(Baseline - Transparent) - (Transparent - Transparent_Flashing),Yes,0.45778129094099096,0.14386781777622273,2125.5249845773706,0.1756448906164979,0.739917691265484
(Baseline - Transparent_Flashing) - (Flashing - Transparent),Yes,-0.262635106187976,0.11792896860558737,2127.751537746934,-0.49390319222310675,-0.03136702015284523
(Baseline - Transparent_Flashing) - (Flashing - Transparent_Flashing),Yes,0.07031202911568546,0.08336071930278532,2127.751537746934,-0.09316497090917134,0.23378902914054225
(Baseline - Transparent_Flashing) - (Transparent - Transparent_Flashing),Yes,0.12483415563732947,0.08281957487176232,2125.5249845773706,-0.037581713956722745,0.28725002523138166
(Flashing - Transparent) - (Flashing - Transparent_Flashing),Yes,0.33294713530366143,0.08342895883395782,2128.3723095874443,0.16933633929128888,0.496557931316034
(Flashing - Transparent) - (Transparent - Transparent_Flashing),Yes,0.38746926182530544,0.14451240887790884,2125.5249845773706,0.10406876633399897,0.6708697573166119
(Flashing - Transparent_Flashing) - (Transparent - Transparent_Flashing),Yes,0.05452212652164401,0.08384101168687041,2125.5249845773706,-0.10989686309346644,0.21894111613675446
