contrast,Haptic_Factor,estimate,SE,df,t.ratio,p.value
Baseline - Flashing,No,0.016653715103215803,0.014988936267870078,2129.6463735843895,1.1110671768559257,0.6827453449838854
Baseline - Transparent,No,-0.060464452150625535,0.015011534891193489,2132.8432731587336,-4.027866076912427,3.392355497181532e-4
Baseline - Transparent_Flashing,No,0.024227600282030505,0.014803949982417299,2133.7616339646333,1.636563235542251,0.3582175251331614
Flashing - Transparent,No,-0.07711816725384134,0.015022275512779334,2133.4487884099353,-5.1335875971811,1.8514140364134235e-6
Flashing - Transparent_Flashing,No,0.007573885178814698,0.014814134884382145,2133.58771418066,0.5112607140359909,0.9564280148467601
Transparent - Transparent_Flashing,No,0.08469205243265604,0.01481422338017291,2132.14686746834,5.71694177002936,7.416844494123609e-8
Baseline - Flashing,Yes,0.011978674279238858,0.014200558739371417,2125.6394084513536,0.8435354199146878,0.8336327979845819
Baseline - Transparent,Yes,0.02126730956438564,0.014105869620281585,2126.8396181524267,1.507692197424486,0.4329922164588983
Baseline - Transparent_Flashing,Yes,-0.03545506548535548,0.014173007910759249,2127.751537746934,-2.501590749726474,0.05993576303074566
Flashing - Transparent,Yes,0.009288635285146785,0.014282845690838892,2128.3723095874443,0.6503350583073634,0.915457344980088
Flashing - Transparent_Flashing,Yes,-0.047433739764594335,0.014344094873661306,2129.760137244518,-3.3068478828658883,0.005299765337269169
Transparent - Transparent_Flashing,Yes,-0.05672237504974111,0.014201685009964268,2125.5249845773706,-3.994059508427573,3.9048161661392466e-4
