contrast,Auditory_Factor,estimate,SE,df,t.ratio,p.value,adjust_method,Visual_Factor,Haptic_Factor
No - Yes,No,0.09128841601458544,0.01344061852373435,62.98894073039536,6.7919802837482655,4.602604473795614e-9,HOLM,NA,NA
No - Yes,Yes,0.0477754962047401,0.01293683293601809,55.814464080061725,3.6929823892002136,5.056139861519684e-4,HOLM,NA,NA
No - Yes,NA,0.0651884423287507,0.01671743005213178,149.0565630499721,3.899429644716112,1.4539716688376602e-4,HOLM,Baseline,NA
No - Yes,NA,0.06051340150477376,0.01684884474934135,154.92332958164994,3.5915460320885986,4.408441451590384e-4,HOLM,Flashing,NA
No - Yes,NA,0.14692020404376188,0.01674057065179897,153.09373910412214,8.776296047469183,3.110793862225769e-15,HOLM,Transparent,NA
No - Yes,NA,0.00550577656136473,0.0165922250227603,147.45216591732662,0.33182870614472826,0.7404897950496534,HOLM,Transparent_Flashing,NA
Baseline - Flashing,NA,0.0166537151032158,0.01498893626787007,2129.6463735843895,1.1110671768559257,0.6827453449838854,TUKEY,NA,No
Baseline - Transparent,NA,-0.06046445215062553,0.01501153489119348,2132.8432731587336,-4.027866076912427,3.392355497181532e-4,TUKEY,NA,No
Baseline - Transparent_Flashing,NA,0.0242276002820305,0.01480394998241729,2133.7616339646333,1.636563235542251,0.3582175251331614,TUKEY,NA,No
Flashing - Transparent,NA,-0.07711816725384134,0.01502227551277933,2133.4487884099353,-5.1335875971811,1.8514140364134235e-6,TUKEY,NA,No
Flashing - Transparent_Flashing,NA,0.00757388517881469,0.01481413488438214,2133.58771418066,0.5112607140359909,0.95642801484676,TUKEY,NA,No
Transparent - Transparent_Flashing,NA,0.08469205243265604,0.01481422338017291,2132.14686746834,5.71694177002936,7.41684449412361e-8,TUKEY,NA,No
Baseline - Flashing,NA,0.01197867427923885,0.01420055873937141,2125.6394084513536,0.8435354199146878,0.8336327979845819,TUKEY,NA,Yes
Baseline - Transparent,NA,0.02126730956438564,0.01410586962028158,2126.8396181524267,1.507692197424486,0.4329922164588983,TUKEY,NA,Yes
Baseline - Transparent_Flashing,NA,-0.03545506548535548,0.01417300791075924,2127.751537746934,-2.501590749726474,0.05993576303074566,TUKEY,NA,Yes
Flashing - Transparent,NA,0.00928863528514678,0.01428284569083889,2128.3723095874443,0.6503350583073634,0.915457344980088,TUKEY,NA,Yes
Flashing - Transparent_Flashing,NA,-0.04743373976459433,0.0143440948736613,2129.760137244518,-3.3068478828658883,0.00529976533726916,TUKEY,NA,Yes
Transparent - Transparent_Flashing,NA,-0.05672237504974111,0.01420168500996426,2125.5249845773706,-3.994059508427573,3.9048161661392466e-4,TUKEY,NA,Yes
