condition,score_EWM,score_Equal,score_PCA,score_ObjectiveOnly,rank_EWM,rank_Equal,rank_PCA,rank_ObjectiveOnly
Baseline|No|No,0.43017313327855167,0.4142156888311329,-0.6845182230370525,0.6844205144987955,13,14,14,5
Flashing|No|No,0.4540390283671101,0.4418474122068389,-0.578372955535422,0.6642089747556125,12,13,13,8
Transparent|No|No,0.37683199583272303,0.27469662789482535,-1.0638890881718646,0.47860959273813464,15,15,15,14
Transparent_Flashing|No|No,0.3370181734582022,0.22526380727756323,-1.1112395609227268,0.2962790939242442,16,16,16,16
Baseline|Yes|No,0.5704109940687283,0.7040127921685516,0.2948426931177322,0.6466498855607031,9,6,6,9
Flashing|Yes|No,0.6091997871365381,0.7334235479306128,0.3696837967316675,0.7253904218924332,6,5,5,3
Transparent|Yes|No,0.5749944829973898,0.6854352551571392,0.2474654657143943,0.5551962542692117,7,8,8,11
Transparent_Flashing|Yes|No,0.5725674696425631,0.6987913869282509,0.2913881009319942,0.644704344235714,8,7,7,10
Baseline|No|Yes,0.5404995342902146,0.6323099709525473,0.01598884607535875,0.6812320483576068,10,9,9,6
Flashing|No|Yes,0.47264603599987265,0.5590047717118615,-0.13592158181669345,0.5119610171936513,11,10,11,12
Transparent|No|Yes,0.4253718943930239,0.5108060160053104,-0.2546933140398286,0.4790438678491825,14,12,12,13
Transparent_Flashing|No|Yes,0.6366421807500033,0.5448497611394613,-0.1255064758362451,0.42993671403520084,5,11,10,15
Baseline|Yes|Yes,0.6855832413986652,0.827660516574146,0.6888067350256001,0.7466548647959709,3,2,2,2
Flashing|Yes|Yes,0.6864253874355731,0.8238188913704431,0.6743935422149062,0.7199465502809028,2,3,3,4
Transparent|Yes|Yes,0.7302304971513381,0.8569138304869371,0.78631323505926,0.7569882405814174,1,1,1,1
Transparent_Flashing|Yes|Yes,0.6459854396382348,0.7981472974348333,0.5852587844889197,0.67656827687627,4,4,4,7
